"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"PRCP","ML","rf","1050021910","RF","METEOFRANCE9",0.552238732368999,1
"PRCP","ML","rf","1050021910","RF","GEOSS2S",0.325616311990983,0
"PRCP","ML","rf","1050021910","RF","CFSv2",0.188259307971324,0
"PRCP","ML","rf","1050021910","RF","CCSM4",0.167312401177304,0
"PRCP","ML","rf","1050021910","RF","CESM1",0.0729197814693814,0
"PRCP","ML","rf","1050021910","RF","SEAS51",-0.117484938675029,0
"PRCP","ML","rf","1050021910","RF","SEAS51b",-0.119216040154142,0
"PRCP","ML","rf","1050021910","RF","SEAS51c",-0.277251352058733,0
"PRCP","ML","rf","1050021910","RF","CanSIPSIC4",-0.480566687010721,0
"PRCP","ML","rf","1050021910","SVMLINEAR","METEOFRANCE9",0.514752210594407,1
"PRCP","ML","rf","1050021910","SVMLINEAR","CCSM4",0.403107190396376,0
"PRCP","ML","rf","1050021910","SVMLINEAR","CFSv2",0.0495897117624058,0
"PRCP","ML","rf","1050021910","SVMLINEAR","GEOSS2S",-0.0366630152150833,0
"PRCP","ML","rf","1050021910","SVMLINEAR","SEAS51c",-0.103155100493586,0
"PRCP","ML","rf","1050021910","SVMLINEAR","CanSIPSIC4",-0.110656418266844,0
"PRCP","ML","rf","1050021910","SVMLINEAR","SEAS51b",-0.224167360379908,0
"PRCP","ML","rf","1050021910","SVMLINEAR","SEAS51",-0.237495152164667,0
"PRCP","ML","rf","1050021910","SVMLINEAR","CESM1",-0.406855393798048,0
"PRCP","ML","rf","1050021910","MLP","CCSM4",0.911792471433915,1
"PRCP","ML","rf","1050021910","MLP","GEOSS2S",0.889363040251592,0
"PRCP","ML","rf","1050021910","MLP","METEOFRANCE9",0.852516071681104,0
"PRCP","ML","rf","1050021910","MLP","CFSv2",0.799030843622857,0
"PRCP","ML","rf","1050021910","MLP","CESM1",0.76811446393585,0
"PRCP","ML","rf","1050021910","MLP","SEAS51c",0.698927083980819,0
"PRCP","ML","rf","1050021910","MLP","CanSIPSIC4",0.613241086446087,0
"PRCP","ML","rf","1050021910","MLP","SEAS51",-0.030051069555364,0
