"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"SST","ML","rf","1050021910","RF","CanSIPSIC4",0.217939391729287,1
"SST","ML","rf","1050021910","RF","GEOSS2S",0.0685659384621923,0
"SST","ML","rf","1050021910","RF","SEAS51c",0.00801962317292571,0
"SST","ML","rf","1050021910","RF","METEOFRANCE9",-0.0661082970117512,0
"SST","ML","rf","1050021910","RF","SEAS51",-0.120804139436107,0
"SST","ML","rf","1050021910","RF","SEAS51b",-0.123927983200076,0
"SST","ML","rf","1050021910","RF","CFSv2",-0.490066702827813,0
"SST","ML","rf","1050021910","RF","CCSM4",-0.748205919366132,0
"SST","ML","rf","1050021910","SVMLINEAR","CanSIPSIC4",0.409837790562429,1
"SST","ML","rf","1050021910","SVMLINEAR","GEOSS2S",0.132196330961249,0
"SST","ML","rf","1050021910","SVMLINEAR","SEAS51b",-0.244713727049522,0
"SST","ML","rf","1050021910","SVMLINEAR","SEAS51c",-0.322288723746971,0
"SST","ML","rf","1050021910","SVMLINEAR","SEAS51",-0.328841538153465,0
"SST","ML","rf","1050021910","SVMLINEAR","METEOFRANCE9",-0.457359542897178,0
"SST","ML","rf","1050021910","SVMLINEAR","CCSM4",-0.736728157631568,0
"SST","ML","rf","1050021910","SVMLINEAR","CFSv2",-0.91819268101695,0
"SST","ML","rf","1050021910","MLP","SEAS51c",0.8587296857708,1
"SST","ML","rf","1050021910","MLP","METEOFRANCE9",0.789752104718052,0
"SST","ML","rf","1050021910","MLP","CanSIPSIC4",0.775987695728106,0
"SST","ML","rf","1050021910","MLP","GEOSS2S",0.7020598115451,0
"SST","ML","rf","1050021910","MLP","CCSM4",0.613477148770578,0
"SST","ML","rf","1050021910","MLP","CFSv2",0.543403216897798,0
"SST","ML","rf","1050021910","MLP","SEAS51",-0.0120184774533634,0
"SST","ML","rf","1050021910","MLP","SEAS51b",-0.0170270337575136,0
"SST","ML","rf","1050021920","RF","GEOSS2S",0.303805198766885,1
"SST","ML","rf","1050021920","RF","CFSv2",0.259048387911294,0
"SST","ML","rf","1050021920","RF","SEAS51c",0.109783768567509,0
"SST","ML","rf","1050021920","RF","CCSM4",-0.0514947974651967,0
"SST","ML","rf","1050021920","RF","METEOFRANCE9",-0.10714000577293,0
