"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"PRCP","STAT","rf","1050021910","PCR","METEOFRANCE9",-0.331581361642471,1
"PRCP","STAT","rf","1050021910","PCR","GEOSS2S",-0.334737253562166,0
"PRCP","STAT","rf","1050021910","PCR","CESM1",-0.353085738415992,0
"PRCP","STAT","rf","1050021910","PCR","SEAS51c",-0.393897441103298,0
"PRCP","STAT","rf","1050021910","PCR","CFSv2",-0.495649152914411,0
"PRCP","STAT","rf","1050021910","PCR","CanSIPSIC4",-0.915530050994685,0
"PRCP","STAT","rf","1050021910","PCR","CCSM4",-1.04929333528285,0
"PRCP","STAT","rf","1050021910","PCR","SEAS51",-1.21041839480396,0
"PRCP","STAT","rf","1050021910","PCR","SEAS51b",-1.21840027751051,0
"PRCP","STAT","rf","1050021910","RIDGE","GEOSS2S",-0.330794703535946,1
"PRCP","STAT","rf","1050021910","RIDGE","CFSv2",-0.38368077814369,0
"PRCP","STAT","rf","1050021910","RIDGE","METEOFRANCE9",-0.561650984933061,0
"PRCP","STAT","rf","1050021910","RIDGE","CCSM4",-0.691607367703727,0
"PRCP","STAT","rf","1050021910","RIDGE","CESM1",-0.866141585076751,0
"PRCP","STAT","rf","1050021910","RIDGE","SEAS51c",-0.92371708458472,0
"PRCP","STAT","rf","1050021910","RIDGE","CanSIPSIC4",-1.05189893042513,0
"PRCP","STAT","rf","1050021910","RIDGE","SEAS51b",-1.12976202563306,0
"PRCP","STAT","rf","1050021910","RIDGE","SEAS51",-1.14051586538585,0
"PRCP","STAT","rf","1050021910","LASSO","GEOSS2S",-0.302576584743608,1
"PRCP","STAT","rf","1050021910","LASSO","CFSv2",-0.402954294178928,0
"PRCP","STAT","rf","1050021910","LASSO","CCSM4",-0.498688333661993,0
"PRCP","STAT","rf","1050021910","LASSO","METEOFRANCE9",-0.611519983602012,0
"PRCP","STAT","rf","1050021910","LASSO","CESM1",-0.715821628911362,0
"PRCP","STAT","rf","1050021910","LASSO","SEAS51c",-0.824989229074334,0
"PRCP","STAT","rf","1050021910","LASSO","CanSIPSIC4",-0.957466919026448,0
"PRCP","STAT","rf","1050021910","LASSO","SEAS51",-1.0937000530346,0
"PRCP","STAT","rf","1050021910","LASSO","SEAS51b",-1.09498599667792,0
"PRCP","STAT","rf","1050021920","PCR","GEOSS2S",-0.333280758512857,1
"PRCP","STAT","rf","1050021920","PCR","SEAS51c",-0.684575787782263,0
"PRCP","STAT","rf","1050021920","PCR","METEOFRANCE9",-0.702186389630097,0
"PRCP","STAT","rf","1050021920","PCR","SEAS51",-0.913523723012762,0
"PRCP","STAT","rf","1050021920","PCR","CFSv2",-0.921319134245427,0
"PRCP","STAT","rf","1050021920","PCR","CESM1",-0.934101513038342,0
"PRCP","STAT","rf","1050021920","PCR","CCSM4",-0.952828974914091,0
"PRCP","STAT","rf","1050021920","PCR","SEAS51b",-1.03903224464995,0
"PRCP","STAT","rf","1050021920","PCR","CanSIPSIC4",-1.1920487274621,0
"PRCP","STAT","rf","1050021920","RIDGE","CCSM4",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","CESM1",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","CFSv2",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","CanSIPSIC4",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","GEOSS2S",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","METEOFRANCE9",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","SEAS51",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","SEAS51b",NA,0
"PRCP","STAT","rf","1050021920","RIDGE","SEAS51c",NA,0
"PRCP","STAT","rf","1050021920","LASSO","CCSM4",NA,0
"PRCP","STAT","rf","1050021920","LASSO","CESM1",NA,0
"PRCP","STAT","rf","1050021920","LASSO","CFSv2",NA,0
"PRCP","STAT","rf","1050021920","LASSO","CanSIPSIC4",NA,0
"PRCP","STAT","rf","1050021920","LASSO","GEOSS2S",NA,0
"PRCP","STAT","rf","1050021920","LASSO","METEOFRANCE9",NA,0
"PRCP","STAT","rf","1050021920","LASSO","SEAS51",NA,0
"PRCP","STAT","rf","1050021920","LASSO","SEAS51b",NA,0
"PRCP","STAT","rf","1050021920","LASSO","SEAS51c",NA,0
"PRCP","STAT","rf","1050021940","PCR","CESM1",-0.380491925987184,1
"PRCP","STAT","rf","1050021940","PCR","SEAS51b",-0.412067686357738,0
"PRCP","STAT","rf","1050021940","PCR","GEOSS2S",-0.449759648950389,0
"PRCP","STAT","rf","1050021940","PCR","SEAS51c",-0.632050873694017,0
"PRCP","STAT","rf","1050021940","PCR","METEOFRANCE9",-0.716955553645592,0
"PRCP","STAT","rf","1050021940","PCR","CFSv2",-0.803078831113471,0
"PRCP","STAT","rf","1050021940","PCR","SEAS51",-1.04057434435317,0
"PRCP","STAT","rf","1050021940","PCR","CCSM4",-1.17148523283024,0
"PRCP","STAT","rf","1050021940","PCR","CanSIPSIC4",-1.17555002977012,0
"PRCP","STAT","rf","1050021940","RIDGE","SEAS51c",-0.365768459472611,1
"PRCP","STAT","rf","1050021940","RIDGE","CESM1",-0.47468109092306,0
"PRCP","STAT","rf","1050021940","RIDGE","GEOSS2S",-0.476803509397543,0
"PRCP","STAT","rf","1050021940","RIDGE","CFSv2",-0.623468404346891,0
"PRCP","STAT","rf","1050021940","RIDGE","METEOFRANCE9",-0.706140329829694,0
"PRCP","STAT","rf","1050021940","RIDGE","CCSM4",-0.755905362080966,0
"PRCP","STAT","rf","1050021940","RIDGE","SEAS51",-0.77122488513123,0
"PRCP","STAT","rf","1050021940","RIDGE","SEAS51b",-0.882354282835896,0
"PRCP","STAT","rf","1050021940","RIDGE","CanSIPSIC4",-0.9859109940937,0
"PRCP","STAT","rf","1050021940","LASSO","CESM1",-0.265029342933719,1
"PRCP","STAT","rf","1050021940","LASSO","SEAS51c",-0.363937578297543,0
"PRCP","STAT","rf","1050021940","LASSO","SEAS51b",-0.420878926798226,0
"PRCP","STAT","rf","1050021940","LASSO","GEOSS2S",-0.427206086739728,0
"PRCP","STAT","rf","1050021940","LASSO","METEOFRANCE9",-0.589690742059782,0
"PRCP","STAT","rf","1050021940","LASSO","SEAS51",-0.598647724061921,0
"PRCP","STAT","rf","1050021940","LASSO","CFSv2",-0.598852305137309,0
"PRCP","STAT","rf","1050021940","LASSO","CCSM4",-0.733218545266197,0
"PRCP","STAT","rf","1050021940","LASSO","CanSIPSIC4",-0.826042147846626,0
"PRCP","STAT","rf","1050022420","PCR","GEOSS2S",0.21391921983339,1
"PRCP","STAT","rf","1050022420","PCR","CFSv2",0.196817682402333,0
"PRCP","STAT","rf","1050022420","PCR","METEOFRANCE9",0.148016408158398,0
"PRCP","STAT","rf","1050022420","PCR","CESM1",-0.0302360679683706,0
"PRCP","STAT","rf","1050022420","PCR","CCSM4",-0.154709803308483,0
"PRCP","STAT","rf","1050022420","PCR","CanSIPSIC4",-0.303887184439587,0
"PRCP","STAT","rf","1050022420","PCR","SEAS51c",-0.525026461723308,0
"PRCP","STAT","rf","1050022420","PCR","SEAS51",-0.558561909942129,0
"PRCP","STAT","rf","1050022420","PCR","SEAS51b",-0.803489554070068,0
"PRCP","STAT","rf","1050022420","RIDGE","GEOSS2S",0.301256255614908,1
"PRCP","STAT","rf","1050022420","RIDGE","SEAS51b",0.170817451113083,0
"PRCP","STAT","rf","1050022420","RIDGE","CFSv2",0.0863016780252741,0
"PRCP","STAT","rf","1050022420","RIDGE","SEAS51c",0.0779765183025909,0
"PRCP","STAT","rf","1050022420","RIDGE","SEAS51",0.0276791623466627,0
"PRCP","STAT","rf","1050022420","RIDGE","CESM1",-0.0934475439365925,0
"PRCP","STAT","rf","1050022420","RIDGE","METEOFRANCE9",-0.268023705361071,0
"PRCP","STAT","rf","1050022420","RIDGE","CCSM4",-0.28891978941997,0
"PRCP","STAT","rf","1050022420","RIDGE","CanSIPSIC4",-0.593593980514332,0
"PRCP","STAT","rf","1050022420","LASSO","GEOSS2S",0.354049849342738,1
"PRCP","STAT","rf","1050022420","LASSO","SEAS51b",0.280378375526133,0
"PRCP","STAT","rf","1050022420","LASSO","SEAS51c",0.181325603268721,0
"PRCP","STAT","rf","1050022420","LASSO","SEAS51",0.165203047490654,0
"PRCP","STAT","rf","1050022420","LASSO","CESM1",0.0254321995321859,0
"PRCP","STAT","rf","1050022420","LASSO","CCSM4",-0.0179453670679519,0
"PRCP","STAT","rf","1050022420","LASSO","CFSv2",-0.0349524769569867,0
"PRCP","STAT","rf","1050022420","LASSO","METEOFRANCE9",-0.274446518024017,0
"PRCP","STAT","rf","1050022420","LASSO","CanSIPSIC4",-0.3957536460512,0
"PRCP","STAT","rf","1050022430","PCR","GEOSS2S",0.0445414936186489,1
"PRCP","STAT","rf","1050022430","PCR","CFSv2",-0.00785657009502505,0
"PRCP","STAT","rf","1050022430","PCR","SEAS51c",-0.168859890325371,0
"PRCP","STAT","rf","1050022430","PCR","SEAS51b",-0.248525893272756,0
"PRCP","STAT","rf","1050022430","PCR","METEOFRANCE9",-0.351903622600783,0
"PRCP","STAT","rf","1050022430","PCR","CCSM4",-0.518376477268002,0
"PRCP","STAT","rf","1050022430","PCR","CESM1",-0.5548158399556,0
"PRCP","STAT","rf","1050022430","PCR","SEAS51",-0.650515317572896,0
"PRCP","STAT","rf","1050022430","PCR","CanSIPSIC4",-0.737823202216876,0
"PRCP","STAT","rf","1050022430","RIDGE","METEOFRANCE9",0.180665536797732,1
"PRCP","STAT","rf","1050022430","RIDGE","GEOSS2S",0.178751130592235,0
"PRCP","STAT","rf","1050022430","RIDGE","CESM1",0.0828969323595348,0
"PRCP","STAT","rf","1050022430","RIDGE","SEAS51b",-0.136963737338494,0
"PRCP","STAT","rf","1050022430","RIDGE","CFSv2",-0.137710268984529,0
"PRCP","STAT","rf","1050022430","RIDGE","SEAS51",-0.163345874703842,0
"PRCP","STAT","rf","1050022430","RIDGE","SEAS51c",-0.326673791105759,0
"PRCP","STAT","rf","1050022430","RIDGE","CCSM4",-0.505493003665308,0
"PRCP","STAT","rf","1050022430","RIDGE","CanSIPSIC4",-0.760808171710797,0
"PRCP","STAT","rf","1050022430","LASSO","METEOFRANCE9",0.549217673272167,1
"PRCP","STAT","rf","1050022430","LASSO","CESM1",0.397872802051676,0
"PRCP","STAT","rf","1050022430","LASSO","GEOSS2S",0.275399372566464,0
"PRCP","STAT","rf","1050022430","LASSO","SEAS51b",-0.0408110803277728,0
"PRCP","STAT","rf","1050022430","LASSO","CFSv2",-0.0538481500778014,0
"PRCP","STAT","rf","1050022430","LASSO","SEAS51",-0.0924356575477092,0
"PRCP","STAT","rf","1050022430","LASSO","SEAS51c",-0.245549907704563,0
"PRCP","STAT","rf","1050022430","LASSO","CanSIPSIC4",-0.416645594693603,0
"PRCP","STAT","rf","1050022430","LASSO","CCSM4",-0.473103909404447,0
"PRCP","STAT","rf","1050022910","PCR","GEOSS2S",0.0926284425380826,1
"PRCP","STAT","rf","1050022910","PCR","SEAS51c",-0.00636384313959981,0
"PRCP","STAT","rf","1050022910","PCR","CFSv2",-0.163093898474289,0
"PRCP","STAT","rf","1050022910","PCR","CanSIPSIC4",-0.314720888046575,0
"PRCP","STAT","rf","1050022910","PCR","CCSM4",-0.409707592612436,0
"PRCP","STAT","rf","1050022910","PCR","SEAS51",-0.4153959813332,0
"PRCP","STAT","rf","1050022910","PCR","CESM1",-0.498881095591372,0
"PRCP","STAT","rf","1050022910","PCR","METEOFRANCE9",-0.527298875958144,0
"PRCP","STAT","rf","1050022910","PCR","SEAS51b",-0.606285010959792,0
