"predictors","approach","final_fuser","HYBAS_ID","model","product","kge","weight"
"SST","STAT","rf","1050021910","PCR","CCSM4",0.376091153497523,1
"SST","STAT","rf","1050021910","PCR","SEAS51c",0.144822581059086,0
"SST","STAT","rf","1050021910","PCR","METEOFRANCE9",0.0703654378085757,0
"SST","STAT","rf","1050021910","PCR","CFSv2",0.00924686507136063,0
"SST","STAT","rf","1050021910","PCR","CanSIPSIC4",-0.333227389685192,0
"SST","STAT","rf","1050021910","PCR","SEAS51",-0.809833329527359,0
"SST","STAT","rf","1050021910","PCR","SEAS51b",-0.834329867968861,0
"SST","STAT","rf","1050021910","RIDGE","CCSM4",0.431072947977464,1
"SST","STAT","rf","1050021910","RIDGE","CanSIPSIC4",-0.254243237283671,0
"SST","STAT","rf","1050021910","RIDGE","METEOFRANCE9",-0.282599587109193,0
"SST","STAT","rf","1050021910","RIDGE","CFSv2",-0.561081462009206,0
"SST","STAT","rf","1050021910","RIDGE","SEAS51c",-0.612571013815156,0
"SST","STAT","rf","1050021910","RIDGE","SEAS51b",-0.876157128058397,0
"SST","STAT","rf","1050021910","RIDGE","SEAS51",-0.94983036788428,0
"SST","STAT","rf","1050021910","LASSO","CCSM4",0.448813599729164,1
"SST","STAT","rf","1050021910","LASSO","CanSIPSIC4",-0.24036057234623,0
"SST","STAT","rf","1050021910","LASSO","METEOFRANCE9",-0.263711861090042,0
"SST","STAT","rf","1050021910","LASSO","CFSv2",-0.54850445489367,0
"SST","STAT","rf","1050021910","LASSO","SEAS51b",-0.858837287373847,0
"SST","STAT","rf","1050021910","LASSO","SEAS51c",-0.912995006994848,0
"SST","STAT","rf","1050021910","LASSO","SEAS51",-0.942334417829997,0
"SST","STAT","rf","1050021920","PCR","CanSIPSIC4",0.207020502720697,1
"SST","STAT","rf","1050021920","PCR","SEAS51c",0.106260840435387,0
"SST","STAT","rf","1050021920","PCR","CFSv2",0.089004184199348,0
"SST","STAT","rf","1050021920","PCR","SEAS51",-0.0180209798549653,0
"SST","STAT","rf","1050021920","PCR","METEOFRANCE9",-0.0251625126214869,0
"SST","STAT","rf","1050021920","PCR","SEAS51b",-0.0924906217024797,0
"SST","STAT","rf","1050021920","PCR","CCSM4",-0.17972978749214,0
"SST","STAT","rf","1050021920","RIDGE","CanSIPSIC4",-0.0098213223168393,1
"SST","STAT","rf","1050021920","RIDGE","CCSM4",-0.231130417583528,0
"SST","STAT","rf","1050021920","RIDGE","CFSv2",-0.328446918410018,0
"SST","STAT","rf","1050021920","RIDGE","SEAS51c",-0.661492130648334,0
"SST","STAT","rf","1050021920","RIDGE","METEOFRANCE9",-0.741420525622256,0
"SST","STAT","rf","1050021920","RIDGE","SEAS51",-0.9000151161034,0
"SST","STAT","rf","1050021920","RIDGE","SEAS51b",-0.987204066443258,0
"SST","STAT","rf","1050021920","LASSO","CanSIPSIC4",-0.000311819392977197,1
"SST","STAT","rf","1050021920","LASSO","CFSv2",-0.12178588794137,0
"SST","STAT","rf","1050021920","LASSO","CCSM4",-0.190971702328959,0
"SST","STAT","rf","1050021920","LASSO","SEAS51c",-0.659289966632686,0
"SST","STAT","rf","1050021920","LASSO","METEOFRANCE9",-0.717713486033736,0
"SST","STAT","rf","1050021920","LASSO","SEAS51b",-0.860515238089709,0
"SST","STAT","rf","1050021920","LASSO","SEAS51",-0.895833259901419,0
"SST","STAT","rf","1050021940","PCR","SEAS51c",0.239189964656878,1
"SST","STAT","rf","1050021940","PCR","CFSv2",-0.115887598881561,0
"SST","STAT","rf","1050021940","PCR","CanSIPSIC4",-0.248891517215458,0
"SST","STAT","rf","1050021940","PCR","SEAS51b",-0.529026034139604,0
"SST","STAT","rf","1050021940","PCR","SEAS51",-0.56739308287642,0
"SST","STAT","rf","1050021940","PCR","CCSM4",-0.741642623447837,0
"SST","STAT","rf","1050021940","PCR","METEOFRANCE9",-0.771386503803904,0
"SST","STAT","rf","1050021940","RIDGE","CFSv2",-0.368946258131756,1
"SST","STAT","rf","1050021940","RIDGE","CCSM4",-0.395172050445545,0
"SST","STAT","rf","1050021940","RIDGE","SEAS51",-0.676122057037046,0
"SST","STAT","rf","1050021940","RIDGE","SEAS51b",-0.745204182686179,0
"SST","STAT","rf","1050021940","RIDGE","CanSIPSIC4",-0.748374898943241,0
"SST","STAT","rf","1050021940","RIDGE","METEOFRANCE9",-0.811655433953621,0
"SST","STAT","rf","1050021940","RIDGE","SEAS51c",-0.948663452486742,0
"SST","STAT","rf","1050021940","LASSO","CFSv2",-0.352944729600212,1
"SST","STAT","rf","1050021940","LASSO","CCSM4",-0.405486139179734,0
"SST","STAT","rf","1050021940","LASSO","SEAS51",-0.667400036684047,0
"SST","STAT","rf","1050021940","LASSO","SEAS51b",-0.734852213885044,0
"SST","STAT","rf","1050021940","LASSO","CanSIPSIC4",-0.740142628332154,0
"SST","STAT","rf","1050021940","LASSO","METEOFRANCE9",-0.805247946547094,0
"SST","STAT","rf","1050021940","LASSO","SEAS51c",-0.943386736330399,0
"SST","STAT","rf","1050022420","PCR","CFSv2",0.559797194460341,1
"SST","STAT","rf","1050022420","PCR","SEAS51c",0.32829953382249,0
"SST","STAT","rf","1050022420","PCR","SEAS51",0.135654804053045,0
"SST","STAT","rf","1050022420","PCR","CCSM4",0.130087057703532,0
"SST","STAT","rf","1050022420","PCR","SEAS51b",0.0354774562979638,0
"SST","STAT","rf","1050022420","PCR","METEOFRANCE9",-0.186604202752745,0
"SST","STAT","rf","1050022420","PCR","CanSIPSIC4",-0.440230184990262,0
"SST","STAT","rf","1050022420","RIDGE","SEAS51",0.0653596466869943,1
"SST","STAT","rf","1050022420","RIDGE","SEAS51b",0.0613159731879613,0
"SST","STAT","rf","1050022420","RIDGE","CFSv2",-0.0893561483634562,0
"SST","STAT","rf","1050022420","RIDGE","CCSM4",-0.125404623813338,0
"SST","STAT","rf","1050022420","RIDGE","CanSIPSIC4",-0.256642863465455,0
"SST","STAT","rf","1050022420","RIDGE","METEOFRANCE9",-0.297285041049208,0
"SST","STAT","rf","1050022420","RIDGE","SEAS51c",-9.92124234556771,0
"SST","STAT","rf","1050022420","LASSO","SEAS51",0.0712671378000351,1
"SST","STAT","rf","1050022420","LASSO","SEAS51b",0.0647898046790975,0
"SST","STAT","rf","1050022420","LASSO","CFSv2",-0.048497157139016,0
"SST","STAT","rf","1050022420","LASSO","CCSM4",-0.120091630607982,0
"SST","STAT","rf","1050022420","LASSO","CanSIPSIC4",-0.248975783309287,0
"SST","STAT","rf","1050022420","LASSO","METEOFRANCE9",-0.278895777139709,0
"SST","STAT","rf","1050022420","LASSO","SEAS51c",-12.0462326722669,0
"SST","STAT","rf","1050022430","PCR","CFSv2",0.406323164933186,1
"SST","STAT","rf","1050022430","PCR","SEAS51",-0.0416012577036964,0
"SST","STAT","rf","1050022430","PCR","SEAS51b",-0.0583483307297163,0
"SST","STAT","rf","1050022430","PCR","METEOFRANCE9",-0.207643406356262,0
"SST","STAT","rf","1050022430","PCR","CanSIPSIC4",-0.453271602858948,0
"SST","STAT","rf","1050022430","PCR","CCSM4",-0.477690283875682,0
"SST","STAT","rf","1050022430","PCR","SEAS51c",-0.505207042121983,0
"SST","STAT","rf","1050022430","RIDGE","CFSv2",0.572578153582914,1
"SST","STAT","rf","1050022430","RIDGE","CanSIPSIC4",-0.127539672693699,0
"SST","STAT","rf","1050022430","RIDGE","CCSM4",-0.190503006266812,0
"SST","STAT","rf","1050022430","RIDGE","METEOFRANCE9",-0.243786578053115,0
"SST","STAT","rf","1050022430","RIDGE","SEAS51",-0.503217048411177,0
"SST","STAT","rf","1050022430","RIDGE","SEAS51b",-0.600169985181862,0
"SST","STAT","rf","1050022430","RIDGE","SEAS51c",-1.1907902848562,0
"SST","STAT","rf","1050022430","LASSO","CFSv2",0.59850436899426,1
"SST","STAT","rf","1050022430","LASSO","METEOFRANCE9",0.0529450986745517,0
"SST","STAT","rf","1050022430","LASSO","CanSIPSIC4",-0.108302883608151,0
