SUBID,DATE,Q,HYBAS_ID
205368,1981,360.73,1050026220
204230,1981,544.17,1050026800
218010,1981,3.35,1050026820
205368,1982,161.63,1050026220
204230,1982,272.31,1050026800
218010,1982,4.39,1050026820
205368,1983,105.11,1050026220
204230,1983,241.72,1050026800
218010,1983,1.36,1050026820
205368,1984,176.37,1050026220
204230,1984,346.52,1050026800
218010,1984,2.53,1050026820
205368,1985,226.29,1050026220
204230,1985,707.62,1050026800
218010,1985,4.43,1050026820
205368,1986,286.37,1050026220
204230,1986,556.18,1050026800
218010,1986,3.16,1050026820
205368,1987,300.05,1050026220
204230,1987,332.36,1050026800
218010,1987,2.94,1050026820
205368,1988,427.76,1050026220
204230,1988,750.13,1050026800
218010,1988,5.59,1050026820
205368,1989,301.69,1050026220
204230,1989,586.52,1050026800
218010,1989,6.59,1050026820
205368,1990,222.89,1050026220
204230,1990,370.87,1050026800
218010,1990,2.12,1050026820
205368,1991,187.84,1050026220
204230,1991,673.24,1050026800
218010,1991,2.57,1050026820
205368,1992,309.31,1050026220
204230,1992,897.75,1050026800
218010,1992,3.11,1050026820
205368,1993,372.36,1050026220
204230,1993,564.01,1050026800
218010,1993,3.66,1050026820
205368,1994,279.18,1050026220
204230,1994,923.64,1050026800
218010,1994,3.47,1050026820
205368,1995,170.33,1050026220
204230,1995,803.54,1050026800
218010,1995,4.69,1050026820
205368,1996,254.84,1050026220
204230,1996,879.76,1050026800
218010,1996,2.73,1050026820
205368,1997,253.99,1050026220
204230,1997,567.02,1050026800
218010,1997,2.58,1050026820
205368,1998,195.93,1050026220
204230,1998,677.19,1050026800
218010,1998,2.57,1050026820
205368,1999,681.35,1050026220
204230,1999,919.77,1050026800
218010,1999,4.57,1050026820
205368,2000,488.37,1050026220
204230,2000,643.3,1050026800
218010,2000,3.72,1050026820
205368,2001,187.97,1050026220
204230,2001,755.69,1050026800
218010,2001,3.49,1050026820
205368,2002,79.94,1050026220
204230,2002,399.95,1050026800
218010,2002,2.17,1050026820
205368,2003,589.47,1050026220
204230,2003,1722.93,1050026800
218010,2003,4.95,1050026820
205368,2004,334.39,1050026220
204230,2004,900.29,1050026800
218010,2004,2.76,1050026820
205368,2005,352.67,1050026220
204230,2005,794.44,1050026800
218010,2005,6.91,1050026820
205368,2006,236.16,1050026220
204230,2006,328.3,1050026800
218010,2006,5.83,1050026820
205368,2007,241.85,1050026220
204230,2007,350.51,1050026800
218010,2007,4.42,1050026820
205368,2008,502.65,1050026220
204230,2008,510.39,1050026800
218010,2008,4.18,1050026820
205368,2009,442.3,1050026220
204230,2009,821.21,1050026800
218010,2009,5.88,1050026820
205368,2010,561.57,1050026220
204230,2010,1137.33,1050026800
218010,2010,5.83,1050026820
205368,2011,219.27,1050026220
204230,2011,1153.66,1050026800
218010,2011,2.36,1050026820
205368,2012,507.7,1050026220
204230,2012,446.67,1050026800
218010,2012,6.79,1050026820
205368,2013,319.83,1050026220
204230,2013,613.93,1050026800
218010,2013,6.22,1050026820
205368,2014,207.48,1050026220
204230,2014,213.45,1050026800
218010,2014,2.55,1050026820
205368,2015,508.76,1050026220
204230,2015,1497.28,1050026800
218010,2015,6.65,1050026820
205368,2016,388.18,1050026220
204230,2016,441.42,1050026800
218010,2016,3.39,1050026820
205368,2017,552.59,1050026220
204230,2017,816.01,1050026800
218010,2017,3.53,1050026820
205368,2018,339.84,1050026220
204230,2018,425.99,1050026800
218010,2018,3.2,1050026820
205368,2019,270.24,1050026220
204230,2019,1040.57,1050026800
218010,2019,3.8,1050026820
205368,2020,802.3,1050026220
204230,2020,874.63,1050026800
218010,2020,8,1050026820
205368,2021,405.43,1050026220
204230,2021,977.77,1050026800
218010,2021,5.61,1050026820
205368,2022,417.51,1050026220
204230,2022,574.28,1050026800
218010,2022,6.61,1050026820
205368,2023,485.18,1050026220
204230,2023,846.56,1050026800
218010,2023,4.44,1050026820
205368,2024,373.04,1050026220
204230,2024,776.48,1050026800
218010,2024,3.74,1050026820
