SUBID,DATE,Q,HYBAS_ID
213790,1981,1933.06,1050025010
204761,1981,611.53,1050026210
205368,1981,360.73,1050026220
213790,1982,1431.82,1050025010
204761,1982,640.48,1050026210
205368,1982,161.63,1050026220
213790,1983,1604.65,1050025010
204761,1983,332.98,1050026210
205368,1983,105.11,1050026220
213790,1984,1141.2,1050025010
204761,1984,479.27,1050026210
205368,1984,176.37,1050026220
213790,1985,1445.05,1050025010
204761,1985,991.71,1050026210
205368,1985,226.29,1050026220
213790,1986,1232.2,1050025010
204761,1986,465.4,1050026210
205368,1986,286.37,1050026220
213790,1987,1500.3,1050025010
204761,1987,704.28,1050026210
205368,1987,300.05,1050026220
213790,1988,1633.27,1050025010
204761,1988,824.43,1050026210
205368,1988,427.76,1050026220
213790,1989,1326.38,1050025010
204761,1989,656.65,1050026210
205368,1989,301.69,1050026220
213790,1990,1174.61,1050025010
204761,1990,690.55,1050026210
205368,1990,222.89,1050026220
213790,1991,1191.89,1050025010
204761,1991,875.36,1050026210
205368,1991,187.84,1050026220
213790,1992,1480.55,1050025010
204761,1992,975.25,1050026210
205368,1992,309.31,1050026220
213790,1993,1189.62,1050025010
204761,1993,692.39,1050026210
205368,1993,372.36,1050026220
213790,1994,2027.18,1050025010
204761,1994,607.55,1050026210
205368,1994,279.18,1050026220
213790,1995,1533.1,1050025010
204761,1995,1139.74,1050026210
205368,1995,170.33,1050026220
213790,1996,1658.54,1050025010
204761,1996,673.36,1050026210
205368,1996,254.84,1050026220
213790,1997,1429.72,1050025010
204761,1997,1036.08,1050026210
205368,1997,253.99,1050026220
213790,1998,1904.68,1050025010
204761,1998,707.21,1050026210
205368,1998,195.93,1050026220
213790,1999,1917.93,1050025010
204761,1999,1246.54,1050026210
205368,1999,681.35,1050026220
213790,2000,735.93,1050025010
204761,2000,558.9,1050026210
205368,2000,488.37,1050026220
213790,2001,1613.14,1050025010
204761,2001,815.22,1050026210
205368,2001,187.97,1050026220
213790,2002,1192.66,1050025010
204761,2002,422.53,1050026210
205368,2002,79.94,1050026220
213790,2003,1702.45,1050025010
204761,2003,962.51,1050026210
205368,2003,589.47,1050026220
213790,2004,811.79,1050025010
204761,2004,928.82,1050026210
205368,2004,334.39,1050026220
213790,2005,32.3,1050025010
204761,2005,618.52,1050026210
205368,2005,352.67,1050026220
213790,2006,1556.4,1050025010
204761,2006,387.85,1050026210
205368,2006,236.16,1050026220
213790,2007,659.95,1050025010
204761,2007,421.9,1050026210
205368,2007,241.85,1050026220
213790,2008,1500.73,1050025010
204761,2008,525.12,1050026210
205368,2008,502.65,1050026220
213790,2009,562.3,1050025010
204761,2009,1010.6,1050026210
205368,2009,442.3,1050026220
213790,2010,45.31,1050025010
204761,2010,729.35,1050026210
205368,2010,561.57,1050026220
213790,2011,1190.66,1050025010
204761,2011,985.58,1050026210
205368,2011,219.27,1050026220
213790,2012,1032.64,1050025010
204761,2012,449.63,1050026210
205368,2012,507.7,1050026220
213790,2013,1210.53,1050025010
204761,2013,587.15,1050026210
205368,2013,319.83,1050026220
213790,2014,1406.86,1050025010
204761,2014,337.47,1050026210
205368,2014,207.48,1050026220
213790,2015,399.98,1050025010
204761,2015,1179.58,1050026210
205368,2015,508.76,1050026220
213790,2016,1730.33,1050025010
204761,2016,715.15,1050026210
205368,2016,388.18,1050026220
213790,2017,2252.61,1050025010
204761,2017,950.65,1050026210
205368,2017,552.59,1050026220
213790,2018,94.43,1050025010
204761,2018,392.19,1050026210
205368,2018,339.84,1050026220
213790,2019,1351.27,1050025010
204761,2019,1147.71,1050026210
205368,2019,270.24,1050026220
213790,2020,346.4,1050025010
204761,2020,528.65,1050026210
205368,2020,802.3,1050026220
213790,2021,970.2,1050025010
204761,2021,931.51,1050026210
205368,2021,405.43,1050026220
213790,2022,1109.04,1050025010
204761,2022,700.93,1050026210
205368,2022,417.51,1050026220
213790,2023,1834.96,1050025010
204761,2023,1049.68,1050026210
205368,2023,485.18,1050026220
213790,2024,1280.87,1050025010
204761,2024,427.38,1050026210
205368,2024,373.04,1050026220
