YYYY	Q
1981	57.5025808219178
1982	39.8017753424658
1983	53.2563616438356
1984	42.3465737704918
1985	59.1984876712329
1986	44.4867232876712
1987	51.3683424657534
1988	49.3428360655738
1989	62.3086191780822
1990	68.2646794520548
1991	77.3590630136986
1992	61.4990710382514
1993	33.8198246575342
1994	65.8872246575342
1995	59.570095890411
1996	58.1276994535519
1997	65.8620082191781
1998	78.6027945205479
1999	72.6576082191781
2000	76.2503196721311
2001	73.0658547945205
2002	62.7257534246575
2003	82.1476602739726
2004	54.4793770491803
2005	27.6623616438356
2006	61.3426794520548
2007	31.3381150684931
2008	72.9003825136612
2009	41.2539726027397
2010	19.8327698630137
2011	48.4227863013699
2012	62.5862950819672
2013	65.3852301369863
2014	70.7349424657534
2015	53.2514301369863
2016	73.8073469945355
2017	77.8549698630137
2018	24.2510164383562
2019	57.5730328767123
2020	53.0364098360656
2021	71.523104109589
2022	53.9819671232877
2023	70.493504109589
2024	59.8849644808743
2025	5.51299337748344
