DATE,X200004,X200012,X215451,X214517,X200019,X200023,X200031,X200034,X211592,X205784,X200035,X200040,X200056,X200058
1981-01-01,0,15.533,0,0,0,0.782,0.715,3.561,9.852,3.658,23.178,0.14,0.834,3.883
1981-01-02,0,15.044,0,0,0,0.764,0.682,3.498,9.499,3.531,22.526,0.134,0.811,3.799
1981-01-03,0,14.575,0,0,0,0.747,0.652,3.434,9.16,3.409,21.898,0.128,0.789,3.717
1981-01-04,0,14.129,0,0,0,0.73,0.621,3.372,8.834,3.291,21.289,0.124,0.767,3.635
1981-01-05,0,13.706,0,0,0,0.714,0.592,3.311,8.519,3.177,20.698,0.117,0.747,3.556
1981-01-06,0,13.301,0,0,0,0.699,0.563,3.252,8.216,3.068,20.126,0.111,0.726,3.479
1981-01-07,0,12.913,0,0,0,0.684,0.536,3.195,7.925,2.962,19.572,0.106,0.707,3.403
1981-01-08,0,12.542,0,0,0,0.669,0.51,3.138,7.644,2.86,19.036,0.1,0.688,3.331
1981-01-09,0,12.185,0,0,0,0.655,0.485,3.084,7.373,2.762,18.517,0.096,0.67,3.262
1981-01-10,0,11.841,0,0,0,0.641,0.46,3.03,7.112,2.667,18.015,0.091,0.652,3.194
1981-01-11,0,11.511,0,0,0,0.627,0.437,2.978,6.861,2.575,17.528,0.094,0.635,3.127
1981-01-12,0,11.192,0,0,0,0.614,0.415,2.928,6.619,2.487,17.057,0.086,0.618,3.063
1981-01-13,0,10.883,0,0,0,0.601,0.394,2.876,6.386,2.402,16.6,0.083,0.601,2.997
1981-01-14,0,11.37,0,0,0,1.045,0.374,2.828,6.161,2.32,16.157,0.077,0.585,2.934
1981-01-15,0,11.797,0,0,0,0.62,0.356,2.78,5.944,2.241,15.729,0.075,0.57,2.875
1981-01-16,0,11.365,0,0,0,0.574,0.338,2.733,5.736,2.164,15.313,0.07,0.555,2.815
1981-01-17,0,10.946,0,0,0,0.56,0.322,2.687,5.535,2.09,14.911,0.066,0.54,2.754
1981-01-18,0,10.549,0,0,0,0.548,0.304,2.641,5.341,2.019,14.521,0.062,0.525,2.693
1981-01-19,0,10.179,0,0,0,0.536,0.287,2.598,5.154,1.95,14.144,0.058,0.511,2.634
1981-01-20,0,9.833,0,0,0,0.524,0.27,2.555,4.974,1.884,13.777,0.055,0.497,2.578
1981-01-21,0,9.504,0,0,0,0.513,0.255,2.514,4.801,1.82,13.422,0.052,0.484,2.525
1981-01-22,0,9.189,0,0,0,0.502,0.24,2.473,4.633,1.758,13.078,0.05,0.471,2.472
1981-01-23,0,8.889,0,0,0,0.492,0.227,2.433,4.472,1.698,12.744,0.047,0.458,2.421
1981-01-24,0,8.603,0,0,0,0.482,0.214,2.394,4.317,1.641,12.42,0.043,0.446,2.371
1981-01-25,0,8.327,0,0,0,0.472,0.202,2.356,4.167,1.585,12.105,0.04,0.434,2.322
