DATE,X200004,X200012,X215451,X214517,X200019,X200023,X200031,X200034,X211592,X205784,X200035,X200040,X200056,X200058
1979-02-01,0,18.801,0,0,0,14.595,0,0,2.778,3.467,0,2.486,0,0
1979-02-02,0,0,0,0,0,0,0,0,0,0,0,2.698,0,0
1979-02-03,0,0,0,0,0,0,0,0,0,0,0,7.813,0,0
1979-02-04,0,0,0,0,0,0,0,0,1.977,6.216,1.038,0,0,0
1979-02-05,0,0,0,0,0,0,0,0,0,0,0,2.601,0,0
1979-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-11,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-13,0,0,0,0,0,0,0,0,1.745,5.783,14.431,5.083,0,0
1979-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-15,0,0,0,0,0,0,0,0,1.321,0.068,0,12.239,0,0
1979-02-16,0,0,0,0,0,0,0,0,9.273,15.207,11.474,0,0,0
1979-02-17,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
1979-02-18,0,0,0,0,0,0,0,0,0.088,3.075,11.776,6.369,0,0
1979-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-23,0,0,0,0,0,0,0,0,0.491,0,0,12.967,0,0
1979-02-24,0,0,0,0,0,0,0,0,0,0,0,6.786,0,0
1979-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-26,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0
1979-02-27,0,0,0,0,0,0,0,0,0,0,0.013,3.48,0,0
1979-02-28,0,0,0,0,0,0,0,0,2.983,0,4.689,0,0,0
1979-03-01,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0
1979-03-02,0,0,0,0,0,0,0,0,0,0,0,3.249,0,0
1979-03-03,0,0,0,0,0,0,0,0,0.082,2.63,6.536,2.013,0,0
1979-03-04,0,0,0,0,0,0,0,0,0,0,0,7.594,0,0
1979-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
